path,label,pca_features
s3://p9-compartiment/Test_aws/Pineapple Mini/r_249_100.jpg,Pineapple Mini,"[-9.855330467224121, 5.186450004577637, -3.6071393489837646, -21.42088508605957, 4.753648281097412, 5.592985153198242, 4.592994689941406, -0.6233544945716858, 7.583616256713867, -4.655826568603516, 12.582817077636719, 2.44816255569458, 6.851823806762695, -4.672666072845459, -4.445402145385742, 0.36585140228271484, 0.9938682913780212, 1.6625816822052002, 0.4453752934932709, 0.9063368439674377, 0.5143331289291382, -0.9436514973640442, -1.5429731607437134, -0.37826046347618103, -1.8393019437789917, -2.3350419998168945, -0.5333443880081177, -2.9395837783813477, 1.5867091417312622, -0.9639586806297302, -4.049462795257568, -0.9958840608596802, -3.0544252395629883, 2.1509668827056885, -2.8929738998413086, 6.574971675872803, -2.6683523654937744, 2.7817115783691406, -3.569331169128418, 0.08592019975185394, 0.3457728624343872, 4.968961715698242, 0.8131066560745239, 4.028894424438477, 0.951295793056488, -3.8737523555755615, -0.5193145871162415, 1.2804919481277466, -5.415583610534668, -1.70078706741333, 3.3966565132141113, -0.21996799111366272, 0.5493334531784058, 2.8178555965423584, -0.23757492005825043, 0.8601313829421997, -2.2811498641967773, -4.4174699783325195, -1.0495942831039429, -0.5920126438140869, -4.100651741027832, 0.9533756375312805, 4.706884860992432, -6.516112804412842, 1.570753812789917, -2.387493133544922, 3.020426034927368, -2.9021973609924316, -0.01564297452569008, -1.9775493144989014, 1.129720687866211, -4.415560245513916, 2.3390305042266846, 1.6991225481033325, -1.0468847751617432, 3.470022201538086, -2.162879228591919, 0.5609177350997925, 0.3782581388950348, -3.641726493835449, 0.6745660305023193, 2.629781723022461, -1.340747594833374, -0.3869323432445526, -1.0448170900344849, 0.5497364401817322, -2.660371780395508, -0.5339991450309753, -0.7065256834030151, -1.1808422803878784, 0.03962022066116333, 1.38860023021698, -2.3261375427246094]"
s3://p9-compartiment/Test_aws/Cantaloupe 2/r_327_100.jpg,Cantaloupe 2,"[-8.517338752746582, 7.775743007659912, -0.9343872666358948, -1.9714325666427612, 4.531827926635742, 1.8354461193084717, 14.345130920410156, 5.182814598083496, -5.761453151702881, 8.230386734008789, -5.657018661499023, 5.6205058097839355, -11.132133483886719, -2.309908866882324, 2.4754750728607178, -6.701214790344238, -0.551239550113678, 2.2690131664276123, -1.5586317777633667, 0.35868221521377563, 1.1647858619689941, 2.3240396976470947, 0.4425733983516693, -2.2068755626678467, 0.9324149489402771, 7.423685073852539, -4.503759384155273, -3.5410263538360596, -1.7572234869003296, -1.71308434009552, 6.625633239746094, -0.8058311343193054, -8.930026054382324, 6.790735244750977, -0.2966257929801941, 2.1171860694885254, -4.074030876159668, 2.5405356884002686, -0.8558892607688904, -5.229819297790527, -1.2312029600143433, -0.26538029313087463, 5.137780666351318, 7.773434638977051, 8.043920516967773, -1.6736292839050293, -3.5041542053222656, -5.8262104988098145, 1.9730829000473022, -0.44339191913604736, -2.0545670986175537, -1.9940980672836304, -0.9783250689506531, 0.75911545753479, -1.5173451900482178, 5.188300132751465, -2.3516297340393066, 3.8062074184417725, 5.3896965980529785, 1.294296145439148, 7.605044364929199, 0.3365497887134552, 2.873547315597534, 0.7915137410163879, 5.152768135070801, -2.1841518878936768, 7.246453762054443, 1.3156434297561646, -3.0230705738067627, 1.8940327167510986, -1.7466310262680054, 0.11184652894735336, 4.764286994934082, 1.2191904783248901, -4.4314093589782715, 3.7711942195892334, 1.5735507011413574, -3.9892804622650146, -3.1315126419067383, -2.7168140411376953, -4.620517253875732, -8.48321533203125, -2.4671216011047363, 0.9524838328361511, 2.066215991973877, -1.5645253658294678, -2.3518645763397217, 3.8599581718444824, 2.5938315391540527, -2.045941114425659, 1.9292265176773071, 7.196305274963379, -2.6752586364746094]"
s3://p9-compartiment/Test_aws/Apple Golden 1/171_100.jpg,Apple Golden 1,"[1.1631702184677124, 14.654661178588867, -2.9276440143585205, 2.1110692024230957, 5.125551223754883, -0.44896629452705383, 0.8889429569244385, -3.0634236335754395, -0.6272010207176208, -3.2225141525268555, -5.947951316833496, 3.4968020915985107, -0.031206291168928146, -0.6554861664772034, 1.15000319480896, 1.0543705224990845, 1.7465640306472778, -3.869394302368164, -2.3783881664276123, 4.324619770050049, -1.8099039793014526, 4.233420372009277, -2.4111428260803223, 1.4994893074035645, -0.3267138600349426, -2.7761504650115967, 5.612262725830078, -2.66447114944458, -0.9891752004623413, 6.855825901031494, 0.8864743709564209, -4.748833179473877, -3.1386559009552, -2.7779064178466797, 2.4622204303741455, -0.7125972509384155, -2.0594983100891113, -5.2425971031188965, 1.479333519935608, -1.7486248016357422, -1.1768708229064941, -1.668113112449646, 1.5246840715408325, -2.0779201984405518, -6.5343170166015625, 1.8975275754928589, 2.5105247497558594, -2.595896005630493, 0.33062782883644104, -0.3075049817562103, -2.5768227577209473, -1.7828466892242432, 1.5835880041122437, 1.832992672920227, 0.05248620733618736, -0.4261540174484253, 0.3282165229320526, 0.7268041372299194, -0.435536652803421, 2.0613973140716553, 1.3956053256988525, 6.56762170791626, -2.9884586334228516, 2.0643937587738037, 1.3747148513793945, -3.1634767055511475, 2.627150774002075, -0.23580996692180634, -2.5792508125305176, -0.1009921282529831, 3.804333448410034, -2.727877616882324, -1.871606707572937, 1.006924033164978, -1.7561514377593994, 3.280669689178467, 0.2375480681657791, 1.4695814847946167, -1.3693857192993164, 1.6025136709213257, -1.239803671836853, 2.9921875, 0.3105475902557373, -1.6425570249557495, -1.1185237169265747, -0.3383671045303345, -0.34284448623657227, 0.014263990335166454, 0.7367419004440308, -1.2424935102462769, -0.5401519536972046, -0.3727114796638489, -1.0557729005813599]"
s3://p9-compartiment/Test_aws/Nectarine/146_100.jpg,Nectarine,"[8.980578422546387, 3.789280414581299, -0.7577746510505676, -1.822442889213562, -7.922567844390869, 0.6554514169692993, 0.49191129207611084, -5.020318031311035, 5.212060451507568, 1.3794894218444824, -2.502323865890503, -0.4272887408733368, 3.15508770942688, -0.7292883396148682, 0.46096381545066833, 0.44363415241241455, -1.831784725189209, -0.04353436455130577, -2.197202444076538, -0.44558197259902954, -1.3106465339660645, 0.015366462990641594, 1.59995436668396, -0.9307711720466614, 1.34066903591156, -0.4388349950313568, 0.5298555493354797, -2.6013433933258057, 0.8104130625724792, 0.7785941362380981, 0.8592540621757507, -1.3586825132369995, 0.01177425030618906, -0.2596321105957031, -0.5228368043899536, -1.3583444356918335, 1.7654744386672974, -0.38393211364746094, 1.998238205909729, -0.6826506853103638, 1.5274009704589844, -1.8260103464126587, 0.42942893505096436, -0.45030224323272705, -0.559908926486969, -0.9829323887825012, -1.7593752145767212, -1.9015812873840332, 0.014593821950256824, -2.9421420097351074, -1.009466290473938, 0.34734371304512024, 0.15486979484558105, 0.7253429293632507, 0.19432155787944794, 0.7080157399177551, -0.09798404574394226, 0.08898220211267471, -0.8994171023368835, -1.648927927017212, 0.12609396874904633, 0.41817599534988403, 2.125627040863037, -0.264125257730484, 1.1213715076446533, 0.44339972734451294, -0.986474871635437, 0.6591007709503174, -0.5240956544876099, 1.2177608013153076, 1.138938069343567, -0.30878570675849915, -2.145728588104248, 1.3961400985717773, 0.014146430417895317, -0.20839188992977142, 0.24881555140018463, -0.2451777309179306, 0.43728339672088623, -1.510825276374817, -1.6297639608383179, -0.7314887046813965, 0.1330171525478363, 0.1390528380870819, -0.5081740617752075, -0.4133731424808502, -1.2666451930999756, -0.3354310393333435, -1.167854905128479, 0.6247603893280029, 0.39856961369514465, 0.05153021961450577, -1.5724376440048218]"
s3://p9-compartiment/Test_aws/Huckleberry/r_191_100.jpg,Huckleberry,"[-7.43386697769165, -9.371136665344238, -7.191992282867432, -5.720196723937988, 5.279519557952881, -7.5023698806762695, -13.986593246459961, -0.8785184025764465, -1.288226842880249, 3.609659194946289, -3.1975722312927246, 3.4330861568450928, -3.34720516204834, 9.191896438598633, -7.977756023406982, -5.2400288581848145, 1.3801517486572266, -4.492641925811768, -2.8019886016845703, -2.1708827018737793, -2.1350340843200684, -4.177322864532471, 5.665905475616455, -2.7836360931396484, 1.8179371356964111, 1.7225056886672974, -2.8882124423980713, -7.991730213165283, -1.7913340330123901, -2.72566556930542, -2.051365852355957, 3.3787946701049805, 2.1807186603546143, 2.1448819637298584, -0.2851825952529907, 2.361069917678833, 2.657533645629883, -1.440009593963623, 1.4980709552764893, 0.9803595542907715, -0.3496440649032593, -1.0676074028015137, -2.27058482170105, -1.360270619392395, -0.8386143445968628, 3.6793885231018066, -0.8416166305541992, 0.9024556279182434, 1.7305059432983398, 3.7059407234191895, 1.9834861755371094, 4.025426864624023, 3.3646090030670166, 3.1623358726501465, -6.0290679931640625, -3.841991662979126, -4.740215301513672, 0.9603791832923889, -1.242850422859192, 1.8732823133468628, 0.439975768327713, 0.3642745614051819, 0.5440750122070312, -4.446297645568848, 1.1391966342926025, 3.035256862640381, -1.5824801921844482, 1.6601347923278809, -1.4027099609375, -1.8967361450195312, 3.760197639465332, 0.39825910329818726, -0.03257686644792557, -4.623006343841553, -1.9149283170700073, 1.1139566898345947, -0.8510550856590271, 1.321625828742981, -2.855189085006714, 1.8746129274368286, -1.2559301853179932, -0.28141674399375916, -2.2363836765289307, 2.246013879776001, -0.3081931471824646, -0.29828619956970215, -0.45238587260246277, 3.6004209518432617, -0.5847726464271545, 0.517141580581665, -5.572131156921387, 0.39149269461631775, 3.0570034980773926]"
s3://p9-compartiment/Test_aws/Apple Red Yellow 1/r_300_100.jpg,Apple Red Yellow 1,"[4.496529579162598, 4.408135890960693, 1.9838515520095825, -2.218277931213379, -3.5561771392822266, -5.095681190490723, 5.437870502471924, -2.4457924365997314, 2.9496395587921143, 6.387252330780029, -0.1973714381456375, 0.7140345573425293, 1.8772658109664917, -3.6469430923461914, 7.692577838897705, 4.389857292175293, 0.8841994404792786, -1.3788022994995117, -2.0267181396484375, -1.4745359420776367, -3.1986191272735596, 1.809073567390442, -1.7579174041748047, -1.6534669399261475, 2.27103853225708, -0.0374736562371254, -1.2347701787948608, -2.29878306388855, 1.2497700452804565, -0.8446084260940552, 0.22006148099899292, 1.9287307262420654, -1.5688755512237549, 2.4939632415771484, 2.161226511001587, -3.188281297683716, 1.4731062650680542, 1.09340500831604, 3.452293872833252, -0.4043082892894745, -1.4862741231918335, -2.4039621353149414, 2.227854013442993, -0.7700709104537964, -0.7824633717536926, -0.40575480461120605, 1.0305827856063843, 0.07183479517698288, -2.7607975006103516, -1.829941987991333, 1.1158626079559326, 1.5952194929122925, 1.966198444366455, 1.376865267753601, 0.7994354367256165, -3.2973833084106445, -2.6521623134613037, 2.750617027282715, 3.1109938621520996, 3.5004146099090576, 2.3793904781341553, 0.44559675455093384, -0.9940477013587952, -0.94256991147995, 1.6983567476272583, -0.7748920321464539, 1.1127557754516602, -1.6717908382415771, 0.47593146562576294, 0.04700423777103424, -1.4083348512649536, -0.3578735589981079, -0.24845238029956818, 0.5196505188941956, 1.1040277481079102, -0.1906774342060089, -0.4760397970676422, -1.593591570854187, 0.6440715193748474, 0.13480298221111298, 0.1845228224992752, 1.0930376052856445, -1.5528662204742432, -0.7091771364212036, -1.4211723804473877, -0.38841480016708374, 1.906709909439087, 0.7669636607170105, -0.6633414626121521, -0.30120405554771423, 0.9515075087547302, 1.2941532135009766, 1.782219648361206]"
s3://p9-compartiment/Test_aws/Apple Red 3/r_184_100.jpg,Apple Red 3,"[-0.8341854214668274, 6.7415642738342285, 2.081439256668091, 0.3851093053817749, 2.035287380218506, -8.085712432861328, -0.956446647644043, -1.656769037246704, 4.776125907897949, -1.1927682161331177, 4.248781681060791, 2.504211902618408, -0.7502399682998657, -1.266588568687439, 16.503250122070312, 4.510362148284912, 2.5428714752197266, -3.785299301147461, 4.652879238128662, -1.641893982887268, -3.4709761142730713, 6.68721342086792, -3.5816550254821777, 0.7094070911407471, -1.1376103162765503, -2.3393466472625732, -2.3320577144622803, 5.201971054077148, -0.34214940667152405, 1.35218346118927, -3.4014313220977783, 1.514307975769043, 3.81579852104187, 2.626295328140259, 1.259658932685852, -0.677829921245575, 2.6323843002319336, 1.498685598373413, 3.8727450370788574, -1.8403784036636353, -2.6528310775756836, -0.7369100451469421, -1.0857162475585938, -1.8165339231491089, 0.632651686668396, -0.898078441619873, 1.455240249633789, 2.2431795597076416, 1.4232391119003296, 4.812662124633789, -2.241678476333618, 2.9198906421661377, -2.5759599208831787, 0.9766966700553894, -1.7661304473876953, -0.8746913075447083, -3.628129720687866, 1.548750877380371, 1.6584974527359009, -0.2754437029361725, -1.0883232355117798, -0.3035246729850769, -1.688521385192871, -0.14253948628902435, 1.4917421340942383, -1.5471739768981934, -1.3763267993927002, -2.1751766204833984, 1.8709503412246704, -0.9164766073226929, -0.6964102387428284, -2.2863762378692627, 0.32303377985954285, -0.7018922567367554, -3.4358737468719482, -1.7399075031280518, -1.4368095397949219, -0.3233419954776764, -0.6156164407730103, 0.21336807310581207, -1.8958710432052612, -1.5369088649749756, 1.4289333820343018, -1.0304498672485352, -0.946802020072937, 1.3124514818191528, -2.3692846298217773, 0.18500705063343048, -2.1678292751312256, 1.4401832818984985, -2.216143846511841, 1.658431887626648, 1.2572346925735474]"
s3://p9-compartiment/Test_aws/Apple Red 3/r_196_100.jpg,Apple Red 3,"[-3.679381847381592, 7.202290058135986, 2.619020938873291, 0.010343123227357864, -0.02103504352271557, -8.277894020080566, 1.6979737281799316, -1.5249735116958618, 1.7667152881622314, -0.8340538144111633, 6.027130126953125, 4.740568161010742, -2.8576788902282715, -0.7233589291572571, 19.60616111755371, 6.674731254577637, 4.996234893798828, -2.9202635288238525, 3.4754440784454346, -2.4602935314178467, -4.7783966064453125, 8.617743492126465, -3.4728026390075684, -1.4607971906661987, -1.0701098442077637, -2.1327850818634033, -2.623824119567871, 6.143732070922852, -1.5370644330978394, 1.9692820310592651, -0.5069968700408936, 3.9090754985809326, 5.786477565765381, 3.2796852588653564, 3.3928263187408447, 1.854743242263794, 3.329293727874756, -0.17778383195400238, 5.41494083404541, -3.542816400527954, -4.225364685058594, 0.3193545937538147, -1.7790160179138184, -1.5552377700805664, -0.036122530698776245, -1.400899052619934, 2.964722156524658, 3.0436019897460938, -0.16713647544384003, 1.9111450910568237, 0.2233581691980362, 3.740665912628174, -2.160905361175537, 1.9009841680526733, -1.5803437232971191, -3.2716126441955566, -3.317636728286743, 5.036676406860352, 1.2163453102111816, 1.0882655382156372, -0.3866482973098755, 0.6295174360275269, -2.546959400177002, -0.6765424609184265, 3.4460208415985107, -2.338559865951538, -3.8946588039398193, -5.3538031578063965, 1.0006461143493652, 0.6363131999969482, -0.7630707621574402, -5.222700595855713, 1.6982793807983398, 0.47069650888442993, -3.2491390705108643, -3.998342990875244, -1.040554404258728, -1.1012574434280396, 0.06259619444608688, -1.6329647302627563, -2.8240251541137695, -0.22913958132266998, 1.1360046863555908, -1.693803310394287, -0.9562009572982788, 2.532835006713867, -0.6452128887176514, -0.6579335927963257, -2.7613019943237305, 0.8245680928230286, -3.6197826862335205, 1.6515865325927734, 3.805487871170044]"
s3://p9-compartiment/Test_aws/Pear/280_100.jpg,Pear,"[3.8065760135650635, 14.878585815429688, -0.8954778909683228, 5.808218002319336, -0.3606947958469391, 1.8127858638763428, -3.9101223945617676, 2.986140251159668, -3.783536434173584, -4.178004741668701, 2.813225746154785, 4.156842231750488, -0.5246039032936096, 1.005104422569275, -1.811075210571289, -0.4185616672039032, 1.1901471614837646, 0.07860065996646881, 1.1400092840194702, 1.333815097808838, -2.6338541507720947, 4.773634910583496, 4.910748481750488, -1.2976601123809814, -2.244999885559082, 3.586963415145874, -3.6483206748962402, 0.8753414154052734, -1.8040509223937988, 3.3122055530548096, 3.667534112930298, -2.98945689201355, 1.60451340675354, 1.7754192352294922, 0.8275238871574402, 2.6213831901550293, 8.605608940124512, -1.312392234802246, 0.1495218425989151, -0.6957855820655823, 0.5043001770973206, 1.0401145219802856, -4.070702075958252, 3.030937910079956, 0.8209699392318726, 1.692007303237915, 2.743457555770874, 0.7887455821037292, -2.444817304611206, -3.0019311904907227, -1.1874750852584839, 1.094728946685791, 1.4244989156723022, 0.986264169216156, -2.4483401775360107, -0.786501944065094, 0.540869414806366, 0.8032622337341309, -1.8532558679580688, 1.6279243230819702, 0.21520677208900452, 0.4858929514884949, 1.146665096282959, -1.0919060707092285, -1.967576503753662, 1.7690712213516235, 0.2605910301208496, 2.917710781097412, -3.429964065551758, 0.9066392779350281, 0.4044342339038849, -0.8746650218963623, -0.4789952337741852, 0.3439197242259979, 0.34689322113990784, -0.24416762590408325, 0.1632678508758545, -1.3266836404800415, 0.35359877347946167, 1.4272371530532837, 1.0098037719726562, 2.0939698219299316, 0.06187748908996582, -0.5745978951454163, 1.9254255294799805, 1.6129127740859985, 0.4167516529560089, -0.056047383695840836, -2.2122130393981934, -0.7165504097938538, 1.4180253744125366, 1.6131386756896973, -0.17830413579940796]"
s3://p9-compartiment/Test_aws/Pomelo Sweetie/56_100.jpg,Pomelo Sweetie,"[9.522035598754883, 8.054644584655762, 5.5190629959106445, -3.0153045654296875, 3.619506359100342, 0.6423517465591431, -3.41548228263855, 1.3717440366744995, -0.25587397813796997, 4.444839000701904, -1.3386868238449097, -1.723443865776062, 1.8658469915390015, 1.2438080310821533, -2.1851561069488525, 0.35350415110588074, -1.794193983078003, -2.0370633602142334, 3.9274322986602783, -0.11142699420452118, 0.4792143702507019, -0.8659219145774841, 1.0604950189590454, -0.6205934286117554, -0.476870596408844, -0.7080556154251099, 1.7988282442092896, 2.251887798309326, -2.3114471435546875, -0.39105144143104553, 3.066758871078491, 0.5209735631942749, -1.132941484451294, 0.2518860399723053, 0.974323570728302, 0.8294214010238647, 1.2809808254241943, 2.706155776977539, -0.056433096528053284, 0.9215683937072754, 1.9775384664535522, 1.175866723060608, -0.4460051655769348, 0.7216975688934326, 0.9680587649345398, 1.4352993965148926, 0.2862980365753174, 3.013845205307007, 0.6090026497840881, 0.6817189455032349, 1.4383500814437866, -0.16564223170280457, -0.9727799892425537, -0.23625940084457397, 0.395023375749588, 0.386461079120636, 1.380824327468872, -0.06810649484395981, 1.102739930152893, 1.226090431213379, -1.2159572839736938, -0.5565848350524902, -0.5972541570663452, -0.644230842590332, -1.0503555536270142, 1.1916766166687012, -1.3477243185043335, -0.061331190168857574, 0.9657683372497559, 1.8733038902282715, 0.570691704750061, -0.12144992500543594, 0.25902917981147766, -1.2020906209945679, 0.3995905816555023, -0.20919427275657654, 0.5864138007164001, -0.23306690156459808, -0.23558230698108673, 1.335210919380188, -0.5901513695716858, 0.6157398819923401, 2.403815507888794, -0.37960579991340637, -0.8906345367431641, 0.2147877961397171, -0.08715616911649704, 0.1756240874528885, -0.3440817892551422, -0.7737179398536682, -0.418739914894104, -0.03802942484617233, -0.5851557850837708]"
